date,total
2017-07-01,2754722200
2017-07-02,496398043
2017-07-03,3613663988
2017-07-04,2884504687
2017-07-05,2729431284
2017-07-06,2779410880
2017-07-07,3154023733
2017-07-08,1089580126
2017-07-09,360282319
2017-07-10,3476252814
2017-07-11,3534978634
2017-07-12,2827840800
2017-07-13,2721586378
2017-07-14,3501070054
2017-07-15,2153242858
2017-07-16,426033574
2017-07-17,3359602767
2017-07-18,2900484847
2017-07-19,2967499381
2017-07-20,3499289883
2017-07-21,3684342552
2017-07-22,1004812943
2017-07-23,364681898
2017-07-24,3318053162
2017-07-25,3137991167
2017-07-26,3404261012
2017-07-27,3266408766
2017-07-28,3653098975
2017-07-29,926025776
2017-07-30,642434091
2017-07-31,18910094539
2017-08-01,5074818674
2017-08-02,2409449664
2017-08-03,2751646236
2017-08-04,2947296883
2017-08-05,966379961
2017-08-06,339110927
2017-08-07,2811773614
2017-08-08,2646075543
2017-08-09,2531284713
2017-08-10,2976853500
2017-08-11,2657531783
2017-08-12,871233290
2017-08-13,338306532
2017-08-14,2235270867
2017-08-15,1285517355
2017-08-16,2398096815
2017-08-17,2113203041
2017-08-18,2440415704
2017-08-19,912419058
2017-08-20,573058005
2017-08-21,2497569577
2017-08-22,2837657859
2017-08-23,2266200431
2017-08-24,2418639319
2017-08-25,2920288178
2017-08-26,788346945
2017-08-27,312846546
2017-08-28,3033093513
2017-08-29,3176756875
2017-08-30,3317608014
2017-08-31,18088484554
2017-09-01,4923449838
2017-09-02,766209379
2017-09-03,337343469
2017-09-04,2830714552
2017-09-05,2781534655
2017-09-06,2682301440
2017-09-07,2712547899
2017-09-08,2816665518
2017-09-09,863399280
2017-09-10,690236907
2017-09-11,2984821959
2017-09-12,2756358508
2017-09-13,2920470250
2017-09-14,2763040169
2017-09-15,4525843676
2017-09-16,956220190
2017-09-17,335579207
2017-09-18,3009641614
2017-09-19,3173411482
2017-09-20,3428075220
2017-09-21,2900911649
2017-09-22,3801430911
2017-09-23,873653302
2017-09-24,356993185
2017-09-25,3204331324
2017-09-26,3256370971
2017-09-27,3360059285
2017-09-28,3769273873
2017-09-29,6086791773
2017-09-30,15746136456
2017-10-01,2273954055
2017-10-02,3747942998
2017-10-03,2498022975
2017-10-04,2789524510
2017-10-05,3016739646
2017-10-06,3172803635
2017-10-07,902490970
2017-10-08,466532992
2017-10-09,2869615565
2017-10-10,3642978606
2017-10-11,3037075782
2017-10-12,552000829
2017-10-13,3151697304
2017-10-14,879842889
2017-10-15,1447420938
2017-10-16,3611190667
2017-10-17,2849395515
2017-10-18,3009340285
2017-10-19,2957402974
2017-10-20,4169028751
2017-10-21,904033727
2017-10-22,455380710
2017-10-23,3344577465
2017-10-24,2941561442
2017-10-25,3166065963
2017-10-26,3325460774
2017-10-27,3578789417
2017-10-28,912356121
2017-10-29,364908181
2017-10-30,4390963393
2017-10-31,19856866584
2017-11-01,2414523682
2017-11-02,3518600879
2017-11-03,3017307913
2017-11-04,1049315362
2017-11-05,355843906
2017-11-06,3159961751
2017-11-07,2821425166
2017-11-08,3191031743
2017-11-09,2191827740
2017-11-10,3905127177
2017-11-11,955772439
2017-11-12,313250648
2017-11-13,3584581293
2017-11-14,3016352801
2017-11-15,4796674171
2017-11-16,3215860171
2017-11-17,3511721998
2017-11-18,853108443
2017-11-19,400432208
2017-11-20,4234191253
2017-11-21,3025295044
2017-11-22,3291541341
2017-11-23,3171673515
2017-11-24,3657070744
2017-11-25,1253929476
2017-11-26,441907207
2017-11-27,3762343835
2017-11-28,3662585883
2017-11-29,3605664999
2017-11-30,21380246072
2017-12-01,5655013206
2017-12-02,988308608
2017-12-03,321880616
2017-12-04,3533314980
2017-12-05,3786939362
2017-12-06,598201815
2017-12-07,3073159995
2017-12-08,957874704
2017-12-09,918389768
2017-12-10,597386323
2017-12-11,3841971929
2017-12-12,3554574777
2017-12-13,3793889521
2017-12-14,3625232806
2017-12-15,5876609772
2017-12-16,1112290756
2017-12-17,405579733
2017-12-18,4896241021
2017-12-19,4246874731
2017-12-20,4859309721
2017-12-21,4334397584
2017-12-22,4444646957
2017-12-23,1275383149
2017-12-24,583337717
2017-12-25,313499169
2017-12-26,2902926945
2017-12-27,3605529760
2017-12-28,4189839716
2017-12-29,6099633464
2017-12-30,2612575535
2017-12-31,15116807475
2018-01-01,2183265225
2018-01-02,3103401174
2018-01-03,2568241402
2018-01-04,2607504089
2018-01-05,2751088412
2018-01-06,272985519
2018-01-07,489789531
2018-01-08,2996745305
2018-01-09,2694569902
2018-01-10,3522886085
2018-01-11,2864298615
2018-01-12,3293634882
2018-01-13,934472393
2018-01-14,309626275
2018-01-15,4678315214
2018-01-16,2887878967
2018-01-17,2968608633
2018-01-18,2703639577
2018-01-19,3304303348
2018-01-20,1291202778
2018-01-21,311237684
2018-01-22,3647819242
2018-01-23,3076197434
2018-01-24,2746462127
2018-01-25,3374638898
2018-01-26,3214956464
2018-01-27,849856564
2018-01-28,314950926
2018-01-29,3788754258
2018-01-30,4028405219
2018-01-31,19886654199
2018-02-01,4773113159
2018-02-02,2823883633
2018-02-03,848857018
2018-02-04,474410331
2018-02-05,3002590032
2018-02-06,2882137650
2018-02-07,2885496293
2018-02-08,2988798976
2018-02-09,3653836203
2018-02-10,1325303728
2018-02-11,279717070
2018-02-12,3319555707
2018-02-13,2907674373
2018-02-14,3044554164
2018-02-15,4965883415
2018-02-16,3396752933
2018-02-17,826759073
2018-02-18,307004554
2018-02-19,3298358181
2018-02-20,3681291755
2018-02-21,3197227145
2018-02-22,3505811949
2018-02-23,3498661962
2018-02-24,899175002
2018-02-25,459854944
2018-02-26,3821823636
2018-02-27,4197465467
2018-02-28,18747179575
2018-03-01,4850500937
2018-03-02,2950563671
2018-03-03,857212975
2018-03-04,451599719
2018-03-05,3045871028
2018-03-06,2863377565
2018-03-07,2809346182
2018-03-08,2957819707
2018-03-09,3682593091
2018-03-10,1348813982
2018-03-11,306238446
2018-03-12,3478489662
2018-03-13,2959331206
2018-03-14,3284786624
2018-03-15,5097367569
2018-03-16,3441464937
2018-03-17,895783774
2018-03-18,314603302
2018-03-19,3221780584
2018-03-20,3864861034
2018-03-21,3284697080
2018-03-22,3977320374
2018-03-23,3964999228
2018-03-24,972060297
2018-03-25,455421267
2018-03-26,4048775569
2018-03-27,3851922489
2018-03-28,4951214521
2018-03-29,2293698245
2018-03-30,1107250156
2018-03-31,15988133239
2018-04-01,2084658282
2018-04-02,2380130179
2018-04-03,2920203909
2018-04-04,2860611592
2018-04-05,2915147478
2018-04-06,3399280700
2018-04-07,970974370
2018-04-08,438265247
2018-04-09,3141425565
2018-04-10,3560409122
2018-04-11,3234495120
2018-04-12,3159707941
2018-04-13,3741470890
2018-04-14,977305524
2018-04-15,1605399438
2018-04-16,3897721566
2018-04-17,3259339567
2018-04-18,2893032680
2018-04-19,3167205087
2018-04-20,4290470524
2018-04-21,936125077
2018-04-22,434668830
2018-04-23,3150490625
2018-04-24,3423816324
2018-04-25,3860577375
2018-04-26,3588903250
2018-04-27,4396213778
2018-04-28,1003135319
2018-04-29,381879409
2018-04-30,20401049289
2018-05-01,1981896623
2018-05-02,2577231698
2018-05-03,3134146792
2018-05-04,3481455728
2018-05-05,1106786436
2018-05-06,357271403
2018-05-07,3530140819
2018-05-08,3207979696
2018-05-09,3122661504
2018-05-10,3704787891
2018-05-11,3642277271
2018-05-12,962504326
2018-05-13,361060587
2018-05-14,3527158938
2018-05-15,4156936761
2018-05-16,3470114941
2018-05-17,3301269522
2018-05-18,4696357365
2018-05-19,1050091161
2018-05-20,717638151
2018-05-21,3413173931
2018-05-22,3557366464
2018-05-23,3137600080
2018-05-24,3089887994
2018-05-25,3911327705
2018-05-26,956175718
2018-05-27,350531270
2018-05-28,3783065814
2018-05-29,3731284430
2018-05-30,4150341916
2018-05-31,21536717630
2018-06-01,5274832200
2018-06-02,908161461
2018-06-03,413810300
2018-06-04,3362075671
2018-06-05,3235191883
2018-06-06,3049607977
2018-06-07,3205868954
2018-06-08,3466288215
2018-06-09,967265049
2018-06-10,759552315
2018-06-11,3650657427
2018-06-12,3296245137
2018-06-13,3438847374
2018-06-14,3289774737
2018-06-15,5232639912
2018-06-16,1014644930
2018-06-17,334651876
2018-06-18,3907094342
2018-06-19,3500253513
2018-06-20,3935428580
2018-06-21,3780533106
2018-06-22,4098936987
2018-06-23,983802878
2018-06-24,373204992
2018-06-25,4016275108
2018-06-26,4054538018
2018-06-27,3737777422
2018-06-28,4313568500
2018-06-29,6152506542
2018-06-30,17816031974
2018-07-01,2193968138
2018-07-02,3927942917
2018-07-03,3056244397
2018-07-04,3201650013
2018-07-05,3994861431
2018-07-06,3463225657
2018-07-07,1050349185
2018-07-08,497040276
2018-07-09,3520571753
2018-07-10,4173817457
2018-07-11,3078449127
2018-07-12,3524214126
2018-07-13,3942271243
2018-07-14,1021643919
2018-07-15,1866555517
2018-07-16,3531754368
2018-07-17,3345603583
2018-07-18,3025269668
2018-07-19,3325144487
2018-07-20,4581081692
2018-07-21,996786614
2018-07-22,477254359
2018-07-23,3663623167
2018-07-24,3277513834
2018-07-25,3407648030
2018-07-26,3499254047
2018-07-27,3921682907
2018-07-28,991925557
2018-07-29,352543664
2018-07-30,5036949943
2018-07-31,20986916214
2018-08-01,5216425667
2018-08-02,3004466181
2018-08-03,2966896302
2018-08-04,1109813448
2018-08-05,504752226
2018-08-06,3055349644
2018-08-07,2859608811
2018-08-08,2715960077
2018-08-09,3257487182
2018-08-10,3713496211
2018-08-11,890522249
2018-08-12,397274009
2018-08-13,2849596206
2018-08-14,2693916186
2018-08-15,1374410859
2018-08-16,2577319740
2018-08-17,2800731594
2018-08-18,811214053
2018-08-19,451766730
2018-08-20,3227767639
2018-08-21,2637193581
2018-08-22,2851499967
2018-08-23,2769730517
2018-08-24,2704188140
2018-08-25,981789153
2018-08-26,414237594
2018-08-27,3165634582
2018-08-28,3224593471
2018-08-29,3417601741
2018-08-30,3684549232
2018-08-31,19548806872
2018-09-01,2501187812
2018-09-02,385341308
2018-09-03,3373397475
2018-09-04,3077882170
2018-09-05,2800464529
2018-09-06,3034923228
2018-09-07,3381983674
2018-09-08,1006844961
2018-09-09,382170150
2018-09-10,3677554664
2018-09-11,2768381753
2018-09-12,3153175816
2018-09-13,3234462754
2018-09-14,3535152663
2018-09-15,2065132163
2018-09-16,430825339
2018-09-17,3948584431
2018-09-18,3273863555
2018-09-19,3443414564
2018-09-20,3874629213
2018-09-21,3882986591
2018-09-22,976603174
2018-09-23,406749848
2018-09-24,3447187806
2018-09-25,3692204981
2018-09-26,3945520639
2018-09-27,4188602890
2018-09-28,6715280257
2018-09-29,1538647673
2018-09-30,15899342872
2018-10-01,5634086183
2018-10-02,3001239601
2018-10-03,2912634070
2018-10-04,3179052687
2018-10-05,3778911170
2018-10-06,1053335800
2018-10-07,534491919
2018-10-08,3860978526
2018-10-09,3182964900
2018-10-10,3786171092
2018-10-11,3705778151
2018-10-12,730858800
2018-10-13,1000192096
2018-10-14,415750858
2018-10-15,5310084656
2018-10-16,3714674112
2018-10-17,3108799145
2018-10-18,3021733533
2018-10-19,3451415984
2018-10-20,1696635167
2018-10-21,411025218
2018-10-22,4465155286
2018-10-23,3246890898
2018-10-24,3146901527
2018-10-25,3915956531
2018-10-26,3836886401
2018-10-27,1027966460
2018-10-28,385091079
2018-10-29,4048691144
2018-10-30,4471237057
2018-10-31,22257679213
2018-11-01,2342958528
2018-11-02,3052486727
2018-11-03,898771598
2018-11-04,545967588
2018-11-05,3636584858
2018-11-06,3365283879
2018-11-07,3311743293
2018-11-08,3344513057
2018-11-09,2878285582
2018-11-10,1387189003
2018-11-11,409938934
2018-11-12,3699345456
2018-11-13,3412110317
2018-11-14,3205984447
2018-11-15,5028357175
2018-11-16,3787709155
2018-11-17,928107212
2018-11-18,352298320
2018-11-19,4030786310
2018-11-20,3926736935
2018-11-21,3145068757
2018-11-22,3913521716
2018-11-23,3764385419
2018-11-24,1172389601
2018-11-25,695278668
2018-11-26,4790665049
2018-11-27,3580167035
2018-11-28,3676707377
2018-11-29,4111454900
2018-11-30,22302329604
2018-12-01,2601952654
2018-12-02,521049837
2018-12-03,4578934845
2018-12-04,3485301993
2018-12-05,3668768603
2018-12-06,745501971
2018-12-07,3030428574
2018-12-08,824252454
2018-12-09,428966316
2018-12-10,4486243935
2018-12-11,3694698587
2018-12-12,4377224330
2018-12-13,4114883847
2018-12-14,4737914839
2018-12-15,2485038770
2018-12-16,527506760
2018-12-17,5369414817
2018-12-18,4863208564
2018-12-19,4922127596
2018-12-20,6326769241
2018-12-21,4891398955
2018-12-22,1324778294
2018-12-23,671188745
2018-12-24,2115802497
2018-12-25,363611813
2018-12-26,3525661655
2018-12-27,4738588394
2018-12-28,5269213247
2018-12-29,1160588919
2018-12-30,1121204809
2018-12-31,19821570830
2019-01-01,2152312016
2019-01-02,3417510482
2019-01-03,2819494601
2019-01-04,2874762226
2019-01-05,1076108941
2019-01-06,249201059
2019-01-07,1946743667
2019-01-08,3363474856
2019-01-09,3028303509
2019-01-10,3944429361
2019-01-11,3340475135
2019-01-12,1005588770
2019-01-13,453905181
2019-01-14,3571825500
2019-01-15,4182985642
2019-01-16,3010835128
2019-01-17,2957736039
2019-01-18,3692998774
2019-01-19,1055847004
2019-01-20,737563755
2019-01-21,3977031626
2019-01-22,3562896114
2019-01-23,2977991743
2019-01-24,2987209640
2019-01-25,3570960333
2019-01-26,908449504
2019-01-27,357466417
2019-01-28,3532469276
2019-01-29,3395265457
2019-01-30,3902872373
2019-01-31,21408183158
2019-02-01,4882445107
2019-02-02,875096066
2019-02-03,331544349
2019-02-04,3265019264
2019-02-05,2985912208
2019-02-06,3124921436
2019-02-07,3128161296
2019-02-08,3405418604
2019-02-09,957608092
2019-02-10,789440438
2019-02-11,3756203416
2019-02-12,3199427589
2019-02-13,3102008456
2019-02-14,3118655777
2019-02-15,5093051421
2019-02-16,959043218
2019-02-17,393827538
2019-02-18,3756689035
2019-02-19,3249675350
2019-02-20,3684869904
2019-02-21,3246252422
2019-02-22,3932533312
2019-02-23,861965099
2019-02-24,394475191
2019-02-25,4103187236
2019-02-26,3857222061
2019-02-27,4306978428
2019-02-28,20074203366
2019-03-01,4811464718
2019-03-02,892930562
2019-03-03,335455520
2019-03-04,3197753756
2019-03-05,3222252812
2019-03-06,2928346175
2019-03-07,3415630229
2019-03-08,3462218465
2019-03-09,904505340
2019-03-10,768447095
2019-03-11,3826419960
2019-03-12,3233573041
2019-03-13,3236193293
2019-03-14,3182355191
2019-03-15,5475013809
2019-03-16,946405052
2019-03-17,371154472
2019-03-18,3609801170
2019-03-19,3000759765
2019-03-20,3995666596
2019-03-21,3196883875
2019-03-22,3940732090
2019-03-23,893839229
2019-03-24,367214944
2019-03-25,4210198258
2019-03-26,3672702383
2019-03-27,3974842670
2019-03-28,4182526337
2019-03-29,6387928415
2019-03-30,1991003724
2019-03-31,15409303344
2019-04-01,5230243717
2019-04-02,2884034467
2019-04-03,2808539890
2019-04-04,3189577570
2019-04-05,3612241564
2019-04-06,1026967915
2019-04-07,413245347
2019-04-08,3654141469
2019-04-09,3730476779
2019-04-10,3855152086
2019-04-11,3199305860
2019-04-12,3983248238
2019-04-13,1092820926
2019-04-14,427437595
2019-04-15,5551079074
2019-04-16,3731848149
2019-04-17,3169250659
2019-04-18,1340939079
2019-04-19,616962084
2019-04-20,1243649196
2019-04-21,415977023
2019-04-22,2577072596
2019-04-23,3290826942
2019-04-24,3788985770
2019-04-25,3889520335
2019-04-26,4405571878
2019-04-27,960762491
2019-04-28,473421081
2019-04-29,4124403742
2019-04-30,21646782893
2019-05-01,1870006434
2019-05-02,2711238645
2019-05-03,3261496573
2019-05-04,1193946418
2019-05-05,459679280
2019-05-06,3208546489
2019-05-07,3192282575
2019-05-08,3579391534
2019-05-09,3095370418
2019-05-10,4099618285
2019-05-11,996564821
2019-05-12,469739452
2019-05-13,3693956043
2019-05-14,3286213875
2019-05-15,4355880453
2019-05-16,3449359089
2019-05-17,3785197134
2019-05-18,954528673
2019-05-19,456094506
2019-05-20,4053657915
2019-05-21,3400157090
2019-05-22,3705667720
2019-05-23,3208879855
2019-05-24,3669660126
2019-05-25,1174841114
2019-05-26,459775543
2019-05-27,3944195029
2019-05-28,3597167391
2019-05-29,3706265513
2019-05-30,4477846818
2019-05-31,22048806071
2019-06-01,2493601327
2019-06-02,435879604
2019-06-03,3754733503
2019-06-04,3235037776
2019-06-05,3795232672
2019-06-06,3490215773
2019-06-07,3553488253
2019-06-08,1124773943
2019-06-09,385518668
2019-06-10,3662025261
2019-06-11,3237192786
2019-06-12,3521277732
2019-06-13,4187483337
2019-06-14,4133962302
2019-06-15,2456302695
2019-06-16,526662660
2019-06-17,3942374120
2019-06-18,3354833746
2019-06-19,3612956162
2019-06-20,4369840961
2019-06-21,4309860034
2019-06-22,1148812391
2019-06-23,474614267
2019-06-24,2694303899
2019-06-25,4031180007
2019-06-26,4353174159
2019-06-27,4535245157
2019-06-28,6604388536
2019-06-29,1681405382
2019-06-30,16485847781
2019-07-01,5836720447
2019-07-02,2991234939
2019-07-03,2958165251
2019-07-04,3860661010
2019-07-05,3929413108
2019-07-06,1082730940
2019-07-07,564981049
2019-07-08,3656140237
2019-07-09,3506696547
2019-07-10,3771298986
2019-07-11,3248331792
2019-07-12,3998141237
2019-07-13,1115769814
2019-07-14,497716781
2019-07-15,5349685518
2019-07-16,3415185844
2019-07-17,3221477008
2019-07-18,3265733678
2019-07-19,3602029569
2019-07-20,1507431035
2019-07-21,519361380
2019-07-22,4246341745
2019-07-23,3363770108
2019-07-24,3373467049
2019-07-25,3785889639
2019-07-26,4159088270
2019-07-27,995062638
2019-07-28,550129919
2019-07-29,4074496070
2019-07-30,4296200417
2019-07-31,21736440250
2019-08-01,5593912870
2019-08-02,2994118891
2019-08-03,925526313
2019-08-04,642175022
2019-08-05,3114042752
2019-08-06,2922264641
2019-08-07,3106358579
2019-08-08,2912094590
2019-08-09,3146406983
2019-08-10,1349800022
2019-08-11,461006534
2019-08-12,3001344160
2019-08-13,2661369327
2019-08-14,2955402048
2019-08-15,1416515791
2019-08-16,2396412342
2019-08-17,824075541
2019-08-18,409513617
2019-08-19,3093962797
2019-08-20,3022308025
2019-08-21,2502266605
2019-08-22,2565324156
2019-08-23,3096009460
2019-08-24,821343853
2019-08-25,579479729
2019-08-26,3223447063
2019-08-27,3037655746
2019-08-28,3402915437
2019-08-29,3450307696
2019-08-30,6177951322
2019-08-31,15189586625
2019-09-01,2090390720
2019-09-02,3415729893
2019-09-03,2837897986
2019-09-04,3001017816
2019-09-05,3342869525
2019-09-06,3489866054
2019-09-07,957056358
2019-09-08,523383559
2019-09-09,3149464914
2019-09-10,3667041492
2019-09-11,2480975880
2019-09-12,3232268746
2019-09-13,3536124988
2019-09-14,997286082
2019-09-15,1647246134
2019-09-16,3655857348
2019-09-17,3137733478
2019-09-18,3176634338
2019-09-19,3224170168
2019-09-20,4684059446
2019-09-21,956739758
2019-09-22,494379870
2019-09-23,3450691723
2019-09-24,3036474361
2019-09-25,3863653320
2019-09-26,4057814533
2019-09-27,4550653789
2019-09-28,1069006617
2019-09-29,514451252
2019-09-30,22205523159
2019-10-01,5248487640
2019-10-02,2799019599
2019-10-03,2814513392
2019-10-04,3455222111
2019-10-05,1066435500
2019-10-06,431545204
2019-10-07,3563571941
2019-10-08,3210779246
2019-10-09,2872387792
2019-10-10,4331856890
2019-10-11,3320143097
2019-10-12,729929474
2019-10-13,523060501
2019-10-14,3819585752
2019-10-15,4808122378
2019-10-16,3203555676
2019-10-17,3287887491
2019-10-18,3385754525
2019-10-19,1131859275
2019-10-20,780237552
2019-10-21,3615789607
2019-10-22,3725474086
2019-10-23,3060656838
2019-10-24,3175453263
2019-10-25,4006864523
2019-10-26,974609981
2019-10-27,428249273
2019-10-28,3817292461
2019-10-29,3921254698
2019-10-30,4278459339
2019-10-31,21842541023
2019-11-01,2224517832
2019-11-02,885774018
2019-11-03,398343446
2019-11-04,3761213034
2019-11-05,3265615017
2019-11-06,2981745307
2019-11-07,3631247744
2019-11-08,3918900917
2019-11-09,978791022
2019-11-10,748488840
2019-11-11,3568628265
2019-11-12,3407817062
2019-11-13,3215991609
2019-11-14,3490221260
2019-11-15,5272519240
2019-11-16,1002849053
2019-11-17,345302889
2019-11-18,3870809662
2019-11-19,3388789791
2019-11-20,3859121339
2019-11-21,3507204064
2019-11-22,4074993013
2019-11-23,951344893
2019-11-24,369353987
2019-11-25,3991304785
2019-11-26,4200865904
